year,Global,NHem,SHem,Tropics,Pacific,Atlantic,Indian
1920,17.672346246630095,15.410297879430832,16.006801500626636,24.438115110661467,20.18436808643545,18.01441029741609,26.33519761138116
1921,17.645877608668844,15.47690578784326,15.97353285806139,24.64847005650937,20.15034899320582,18.016933871917708,26.269963440955358
1922,17.587458070035783,15.189982636111393,15.590474859959253,23.977263650305574,20.11869595760866,17.82862881944261,26.25439045591361
1923,17.611515762650722,15.122210942724237,15.790965585453629,24.255031742868574,20.15859627987597,17.87311515366847,26.19102861834635
1924,17.59149518348395,15.377730975952895,15.89986259578145,24.45215852103314,20.09249101960888,17.912136554854307,26.281147612317916
1925,17.632755477140986,15.38279186817594,15.871197457816427,24.419780294887452,20.18039307669889,17.916979362873185,26.201824209496632
1926,17.707961164483656,15.722702882164823,15.694290709654409,24.51634688627008,20.24464190922768,18.03558052012899,26.37888295421134
1927,17.649600597051048,15.598381112919768,15.794924119004833,24.30972988691622,20.159121618168076,18.076535349245653,26.179797730752533
1928,17.612340361972667,15.448878217058569,15.573258659365797,24.136190310188006,20.12207131151569,17.932669716592127,26.262683657494566
1929,17.574058378603684,15.433548881729068,15.380250894096067,24.055211089447184,20.127792941648615,17.850037496843576,26.13984544029421
1930,17.691427079543722,15.541394282347456,15.563559597762879,24.042519444277044,20.249621281752464,17.97739920477468,26.23831043804384
1931,17.72048785919997,15.51997526267274,15.600692846500452,24.234436912461273,20.224420506932397,18.049733439420198,26.46801602506428
1932,17.655996302111472,15.427901757318752,15.515923919340906,23.8949152172001,20.12351292685079,18.107400498643013,26.206850198487423
1933,17.598555522278073,15.874434598517,15.65398031229638,24.394677940634963,20.004933490357963,18.118557382508747,26.178328622855197
1934,17.654959892693267,15.78343733696769,16.08718723142867,24.90506157033713,20.087145370120293,18.179856229776796,26.094648555971457
1935,17.67669443289248,15.754341843496405,15.86032752073137,24.450741890998245,20.14301327837936,18.117449214832718,26.220721753117633
1936,17.71362523824914,15.560815859883997,15.477987954247936,23.93835287252402,20.17601105118564,18.076970271323322,26.369111221578507
1937,17.789296962183364,15.861683575267062,16.041226897607004,24.68576601183497,20.223601962322853,18.29400549279711,26.381996302882115
1938,17.72015084382452,15.714300757342812,15.794266782846293,24.330877261772457,20.15804608521059,18.17108243363576,26.273398074625533
1939,17.78395480456266,15.64403656101664,16.029960481167983,24.384705451602173,20.262045181948043,18.237350631968326,26.26531181196041
1940,17.97213750131954,15.693917583893743,16.116702819434042,24.764909327206976,20.460354715740017,18.43380725245332,26.579019630199422
1941,18.077552995367682,15.83725941029542,16.090201213811962,24.803549025674666,20.585181036103585,18.44454827480628,26.913085353360707
1942,17.895101410622424,15.504691147372867,15.763431749421846,24.235428981018902,20.3635149631906,18.286458660141836,26.664744027615352
1943,17.9028625725429,15.609992064181627,15.644048907116144,24.092110340184128,20.49112624806937,18.22104005132503,26.36391826683316
1944,18.009691711724948,15.783118966344226,16.042729062348492,24.701377795240457,20.537471116444358,18.41802860602106,26.706571210805464
1945,18.01174828174493,15.830713912257416,15.847996211622865,24.567402841663828,20.550327622955557,18.3862569556165,26.69773812724038
1946,17.818776801858487,15.660399295954965,15.543661295407269,24.08320441154946,20.352170612468186,18.09717754316995,26.498517136782993
1947,17.744673078639114,15.662150005292073,15.753340519600851,24.395213741607932,20.297781612494475,18.031948738712327,26.27398145221993
1948,17.740854796094307,15.418817171678958,15.711489127127066,24.07995654659688,20.271911627400296,18.06553819726422,26.311599654477522
1949,17.766297230078308,15.672410915959647,15.97000581920242,24.63648810079059,20.24733376083691,18.20343285014523,26.32783723570031
1950,17.73109966931562,15.577307782041466,15.643001164929034,24.214556758214478,20.24765613787007,18.052046372980698,26.250411767200255
1951,17.82921807579691,15.465522347083498,15.720740926354644,24.258226002283585,20.412347776475233,18.16751480762737,26.1980010512356
1952,17.881288668014268,15.530001770664736,15.87138078317983,24.355106445685585,20.430442715445707,18.31225929883036,26.30466030563971
1953,17.87885725214643,15.776620473973612,15.763656114591818,24.345937396103523,20.41771844589357,18.27679890822208,26.357870842990046
1954,17.741066326441782,15.47940904943536,15.569412159559171,23.99464128809603,20.25012559861997,18.101071744174305,26.223988127524642
1955,17.687724505778633,15.478154464345382,15.648465536446793,24.119433255675688,20.139745425528197,18.172274702515445,26.17491655450784
1956,17.731167451806904,15.297307058711466,15.5930385317317,23.990317437080485,20.271996809972734,18.07810176398203,26.13363760198207
1957,17.920809786369638,15.547493426060221,15.800784766420499,24.20191057271725,20.54600405817685,18.17943985023854,26.395948168883233
1958,17.935059531567973,15.438641577730204,15.584629006238785,23.856710263742276,20.503625760529868,18.223408874621917,26.53695547252925
1959,17.89389518385115,15.723178769585463,15.876522728541344,24.46102379537331,20.44059302560149,18.207443757285155,26.510270293284943
1960,17.865761408058713,15.796950875467259,15.913882590245226,24.490505001693936,20.402128723749875,18.263000005951284,26.350383670885122
1961,17.906513798095204,15.803849633563468,16.000935450525528,24.679094739403208,20.391496474383025,18.327125083472072,26.482087324198243
1962,17.866697672320623,15.540269592135651,16.01575607957791,24.522496739043333,20.354308599758166,18.319302354078,26.454035501667033
1963,17.88610991415442,15.679148335892904,16.184366673922664,25.157714802764325,20.45177958581781,18.28343084347669,26.37821236110725
1964,17.72505956097303,15.46397265394994,15.783740629532554,24.308043993165846,20.2487777856765,18.07212404235001,26.351416601228692
1965,17.770862242091155,15.371041836076012,15.812888133008423,24.450430232374856,20.32620764375983,18.13857078266192,26.246573666586023
1966,17.8317517590288,15.523798716287391,15.93103422137708,24.652438614681085,20.326104412140936,18.241244729845413,26.484583767734982
1967,17.801534709238265,15.440499822657616,15.661964311644173,24.286372155342963,20.32889924644498,18.11190424512847,26.419138040999915
1968,17.835611618533274,15.531941126169935,16.05931182547288,24.664529009301237,20.402254811657038,18.18027485864831,26.241840650706038
1969,17.98614919799516,15.51259755446211,15.92152789483391,24.370168958118295,20.522647764585116,18.317419411043392,26.743208319389662
1970,17.869251369139977,15.440880081434724,15.726509760143447,24.15628001764436,20.361519252958725,18.19856716265733,26.64896636465454
1971,17.730607438828155,15.469760730190163,15.786139987816645,24.315882977310405,20.198036596387105,18.10363062914353,26.32969031943576
1972,17.93935444049848,15.59023770045228,16.23521449508546,24.688465906722577,20.45318670157091,18.254472476575554,26.655806910122763
1973,17.937227893095912,15.813104635070463,16.407782323824634,25.16735447879293,20.374022194190065,18.43336074443834,26.702295183548152
1974,17.818655066509088,15.645658995296671,16.212461987722342,24.834054112117034,20.283142976343132,18.220283561795917,26.37549848427718
1975,17.782392246297004,15.54029100273071,16.05229399174221,24.495529800140883,20.191772019248756,18.23991244236611,26.436365568369585
1976,17.836065289169664,15.315957841711814,15.929007415673109,24.228229020679628,20.30295106901061,18.149830193390155,26.505173240061186
1977,18.001951838593847,15.42777092850403,16.087075227980755,24.559335545704418,20.47664353071983,18.32736426584246,26.742602472800616
1978,17.963159674981032,15.29319019359454,15.990645253725003,24.305824501427562,20.437363150826194,18.3005183823529,26.65817781216539
1979,18.063802214698846,15.486297104423265,16.226107340767612,24.813348936476892,20.559449263032743,18.403856571819404,26.76546909974317
1980,18.064882718907892,15.558100559508947,16.141843658255628,24.56696107593865,20.55483151827782,18.418561989851515,26.76249869328969
